Company,Year,Role,Skill,Skill_Type
Thales,2024,Data Analyst,Data Visualization,Transitional
Thales,2024,Data Analyst,Advanced SQL,Upcoming
Thales,2024,Machine Learning Engineer,MLOps,Transitional
Thales,2024,Machine Learning Engineer,LLM,Upcoming
Thales,2024,Machine Learning Engineer,Generative AI,Upcoming
Thales,2024,Data Scientist,Generative AI,Upcoming
Thales,2024,Data Scientist,LLM,Upcoming
Thales,2024,Data Scientist,Deep Learning,Traditional
Thales,2024,Frontend Developer,React,Traditional
Thales,2024,Frontend Developer,TypeScript,Transitional
Thales,2024,Frontend Developer,Next.js,Upcoming
Thales,2025,Cloud Engineer,Cloud Security,Upcoming
Thales,2025,Cloud Engineer,Multi-Cloud,Upcoming
Thales,2025,Cybersecurity Analyst,Cloud Security,Upcoming
Thales,2025,Backend Developer,REST APIs,Transitional
Zebra Technologies,2021,Backend Developer,Java,Traditional
Zebra Technologies,2021,Backend Developer,Spring Boot,Transitional
Zebra Technologies,2021,Backend Developer,SQL,Transitional
Zebra Technologies,2021,Data Analyst,SQL,Transitional
Zebra Technologies,2021,Data Analyst,Excel,Transitional
Zebra Technologies,2021,Data Analyst,Tableau,Transitional
Zebra Technologies,2021,Full Stack Developer,Java,Traditional
Zebra Technologies,2021,Full Stack Developer,JavaScript,Transitional
Zebra Technologies,2021,Full Stack Developer,SQL,Transitional
Zebra Technologies,2021,Cloud Engineer,AWS,Traditional
Zebra Technologies,2021,Cloud Engineer,Networking,Transitional
Zebra Technologies,2021,Cloud Engineer,Linux,Transitional
Zebra Technologies,2021,Machine Learning Engineer,Python,Traditional
Zebra Technologies,2021,Machine Learning Engineer,Scikit-learn,Transitional
Zebra Technologies,2021,Machine Learning Engineer,Model Deployment,Transitional
Zebra Technologies,2022,Software Engineer,Java,Traditional
Zebra Technologies,2022,Software Engineer,System Design,Traditional
Zebra Technologies,2022,Software Engineer,SQL,Transitional
Zebra Technologies,2022,Data Analyst,SQL,Transitional
Zebra Technologies,2022,Data Analyst,Power BI,Transitional
Zebra Technologies,2022,Data Analyst,Python,Traditional
Zebra Technologies,2022,DevOps Engineer,Docker,Transitional
Zebra Technologies,2022,DevOps Engineer,CI/CD,Transitional
Zebra Technologies,2022,DevOps Engineer,AWS,Traditional
Zebra Technologies,2022,Backend Developer,Node.js,Transitional
Zebra Technologies,2022,Backend Developer,Microservices,Traditional
Zebra Technologies,2022,Backend Developer,REST APIs,Transitional
Zebra Technologies,2022,Machine Learning Engineer,TensorFlow,Transitional
Zebra Technologies,2022,Machine Learning Engineer,Model Deployment,Transitional
Zebra Technologies,2022,Machine Learning Engineer,Docker,Transitional
Zebra Technologies,2023,Backend Developer,Golang,Transitional
Zebra Technologies,2023,Backend Developer,REST APIs,Transitional
Zebra Technologies,2023,Backend Developer,Microservices,Traditional
Zebra Technologies,2023,Data Analyst,Python,Traditional
Zebra Technologies,2023,Data Analyst,Power BI,Transitional
Zebra Technologies,2023,Data Analyst,Data Visualization,Transitional
Zebra Technologies,2023,Machine Learning Engineer,MLOps,Transitional
Zebra Technologies,2023,Machine Learning Engineer,TensorFlow,Transitional
Zebra Technologies,2023,Machine Learning Engineer,Kubernetes,Transitional
Zebra Technologies,2023,Data Scientist,Deep Learning,Traditional
Zebra Technologies,2023,Data Scientist,TensorFlow,Transitional
Zebra Technologies,2023,Data Scientist,Feature Engineering,Transitional
Zebra Technologies,2023,DevOps Engineer,Kubernetes,Transitional
Zebra Technologies,2023,DevOps Engineer,Terraform,Traditional
Zebra Technologies,2023,DevOps Engineer,AWS,Traditional
Zebra Technologies,2024,Full Stack Developer,Next.js,Upcoming
Zebra Technologies,2024,Full Stack Developer,Golang,Transitional
Zebra Technologies,2024,Full Stack Developer,Kubernetes,Transitional
Zebra Technologies,2024,Frontend Developer,React,Traditional
Zebra Technologies,2024,Frontend Developer,TypeScript,Transitional
Zebra Technologies,2024,Frontend Developer,Next.js,Upcoming
Zebra Technologies,2024,DevOps Engineer,Kubernetes,Transitional
Zebra Technologies,2024,DevOps Engineer,Terraform,Traditional
Zebra Technologies,2024,DevOps Engineer,Cloud Security,Upcoming
Zebra Technologies,2024,Backend Developer,Golang,Transitional
Zebra Technologies,2024,Backend Developer,Kubernetes,Transitional
Zebra Technologies,2024,Backend Developer,Distributed Systems,Upcoming
Zebra Technologies,2024,Data Analyst,Python,Traditional
Zebra Technologies,2024,Data Analyst,Data Visualization,Transitional
Zebra Technologies,2024,Data Analyst,Advanced SQL,Upcoming
Zebra Technologies,2025,Software Engineer,Java,Traditional
Zebra Technologies,2025,Backend Developer,Microservices,Traditional
Zebra Technologies,2025,DevOps Engineer,CI/CD,Transitional
Zebra Technologies,2025,Cloud Engineer,AWS,Traditional
BT Group,2021,Cloud Engineer,AWS,Traditional
BT Group,2021,Cloud Engineer,Networking,Transitional
BT Group,2021,Cloud Engineer,Linux,Transitional
BT Group,2021,Software Engineer,Java,Traditional
BT Group,2021,Software Engineer,Data Structures,Transitional
BT Group,2021,Software Engineer,SQL,Transitional
BT Group,2021,Data Analyst,SQL,Transitional
BT Group,2021,Data Analyst,Excel,Transitional
BT Group,2021,Data Analyst,Tableau,Transitional
BT Group,2021,Frontend Developer,HTML,Transitional
BT Group,2021,Frontend Developer,CSS,Transitional
BT Group,2021,Frontend Developer,JavaScript,Transitional
BT Group,2021,Full Stack Developer,Java,Traditional
BT Group,2021,Full Stack Developer,JavaScript,Transitional
BT Group,2021,Full Stack Developer,SQL,Transitional
BT Group,2022,Software Engineer,Java,Traditional
BT Group,2022,Software Engineer,System Design,Traditional
BT Group,2022,Software Engineer,SQL,Transitional
BT Group,2022,Backend Developer,Node.js,Transitional
BT Group,2022,Backend Developer,Microservices,Traditional
BT Group,2022,Backend Developer,REST APIs,Transitional
BT Group,2022,Frontend Developer,JavaScript,Transitional
BT Group,2022,Frontend Developer,React,Traditional
BT Group,2022,Frontend Developer,CSS,Transitional
BT Group,2022,Machine Learning Engineer,TensorFlow,Transitional
BT Group,2022,Machine Learning Engineer,Model Deployment,Transitional
BT Group,2022,Machine Learning Engineer,Docker,Transitional
BT Group,2022,DevOps Engineer,Docker,Transitional
BT Group,2022,DevOps Engineer,CI/CD,Transitional
BT Group,2022,DevOps Engineer,AWS,Traditional
BT Group,2023,Software Engineer,Java,Traditional
BT Group,2023,Software Engineer,Microservices,Traditional
BT Group,2023,Software Engineer,System Design,Traditional
BT Group,2023,Full Stack Developer,React,Traditional
BT Group,2023,Full Stack Developer,Golang,Transitional
BT Group,2023,Full Stack Developer,Microservices,Traditional
BT Group,2023,Data Analyst,Python,Traditional
BT Group,2023,Data Analyst,Power BI,Transitional
BT Group,2023,Data Analyst,Data Visualization,Transitional
BT Group,2023,Cloud Engineer,AWS,Traditional
BT Group,2023,Cloud Engineer,Kubernetes,Transitional
BT Group,2023,Cloud Engineer,Cloud Architecture,Transitional
BT Group,2023,Data Scientist,Deep Learning,Traditional
BT Group,2023,Data Scientist,TensorFlow,Transitional
BT Group,2023,Data Scientist,Feature Engineering,Transitional
BT Group,2024,DevOps Engineer,Kubernetes,Transitional
BT Group,2024,DevOps Engineer,Terraform,Traditional
BT Group,2024,DevOps Engineer,Cloud Security,Upcoming
BT Group,2024,Backend Developer,Golang,Transitional
BT Group,2024,Backend Developer,Kubernetes,Transitional
BT Group,2024,Backend Developer,Distributed Systems,Upcoming
BT Group,2024,Machine Learning Engineer,MLOps,Transitional
BT Group,2024,Machine Learning Engineer,LLM,Upcoming
BT Group,2024,Machine Learning Engineer,Generative AI,Upcoming
BT Group,2024,Data Analyst,Python,Traditional
BT Group,2024,Data Analyst,Data Visualization,Transitional
BT Group,2024,Data Analyst,Advanced SQL,Upcoming
BT Group,2024,Cloud Engineer,Cloud Security,Upcoming
BT Group,2024,Cloud Engineer,Kubernetes,Transitional
BT Group,2024,Cloud Engineer,Multi-Cloud,Upcoming
BT Group,2025,Cloud Engineer,Multi-Cloud,Upcoming
BT Group,2025,DevOps Engineer,Terraform,Traditional
BT Group,2025,Software Engineer,Distributed Systems,Upcoming
BT Group,2025,Data Scientist,Generative AI,Upcoming
NatWest,2021,Frontend Developer,HTML,Transitional
NatWest,2021,Frontend Developer,CSS,Transitional
NatWest,2021,Frontend Developer,JavaScript,Transitional
NatWest,2021,DevOps Engineer,Linux,Transitional
NatWest,2021,DevOps Engineer,Shell Scripting,Transitional
NatWest,2021,DevOps Engineer,CI/CD,Transitional
NatWest,2021,Data Analyst,SQL,Transitional
NatWest,2021,Data Analyst,Excel,Transitional
NatWest,2021,Data Analyst,Tableau,Transitional
NatWest,2021,Backend Developer,Java,Traditional
NatWest,2021,Backend Developer,Spring Boot,Transitional
NatWest,2021,Backend Developer,SQL,Transitional
NatWest,2021,Cloud Engineer,AWS,Traditional
NatWest,2021,Cloud Engineer,Networking,Transitional
NatWest,2021,Cloud Engineer,Linux,Transitional
NatWest,2022,Cloud Engineer,AWS,Traditional
NatWest,2022,Cloud Engineer,Azure,Transitional
NatWest,2022,Cloud Engineer,Terraform,Traditional
NatWest,2022,Machine Learning Engineer,TensorFlow,Transitional
NatWest,2022,Machine Learning Engineer,Model Deployment,Transitional
NatWest,2022,Machine Learning Engineer,Docker,Transitional
NatWest,2022,Backend Developer,Node.js,Transitional
NatWest,2022,Backend Developer,Microservices,Traditional
NatWest,2022,Backend Developer,REST APIs,Transitional
NatWest,2022,Data Analyst,SQL,Transitional
NatWest,2022,Data Analyst,Power BI,Transitional
NatWest,2022,Data Analyst,Python,Traditional
NatWest,2022,DevOps Engineer,Docker,Transitional
NatWest,2022,DevOps Engineer,CI/CD,Transitional
NatWest,2022,DevOps Engineer,AWS,Traditional
NatWest,2023,Data Analyst,Python,Traditional
NatWest,2023,Data Analyst,Power BI,Transitional
NatWest,2023,Data Analyst,Data Visualization,Transitional
NatWest,2023,Machine Learning Engineer,MLOps,Transitional
NatWest,2023,Machine Learning Engineer,TensorFlow,Transitional
NatWest,2023,Machine Learning Engineer,Kubernetes,Transitional
NatWest,2023,Data Scientist,Deep Learning,Traditional
NatWest,2023,Data Scientist,TensorFlow,Transitional
NatWest,2023,Data Scientist,Feature Engineering,Transitional
NatWest,2023,DevOps Engineer,Kubernetes,Transitional
NatWest,2023,DevOps Engineer,Terraform,Traditional
NatWest,2023,DevOps Engineer,AWS,Traditional
NatWest,2023,Frontend Developer,React,Traditional
NatWest,2023,Frontend Developer,TypeScript,Transitional
NatWest,2023,Frontend Developer,JavaScript,Transitional
NatWest,2024,DevOps Engineer,Kubernetes,Transitional
NatWest,2024,DevOps Engineer,Terraform,Traditional
NatWest,2024,DevOps Engineer,Cloud Security,Upcoming
NatWest,2024,Cloud Engineer,Cloud Security,Upcoming
NatWest,2024,Cloud Engineer,Kubernetes,Transitional
NatWest,2024,Cloud Engineer,Multi-Cloud,Upcoming
NatWest,2024,Software Engineer,Distributed Systems,Upcoming
NatWest,2024,Software Engineer,System Design,Traditional
NatWest,2024,Software Engineer,Microservices,Traditional
NatWest,2024,Backend Developer,Golang,Transitional
NatWest,2024,Backend Developer,Kubernetes,Transitional
NatWest,2024,Backend Developer,Distributed Systems,Upcoming
NatWest,2024,Data Scientist,Generative AI,Upcoming
NatWest,2024,Data Scientist,LLM,Upcoming
NatWest,2024,Data Scientist,Deep Learning,Traditional
NatWest,2025,Data Analyst,Advanced SQL,Upcoming
NatWest,2025,Data Scientist,LLM,Upcoming
NatWest,2025,Machine Learning Engineer,MLOps,Transitional
NatWest,2025,Cloud Engineer,Cloud Security,Upcoming
